"gen" "purg" "pre" "ss" "negpysum" "QF"
1 2.5 3.18 3.58 5 39
1 2.5 3.82 3.58 0 0
1 2.57 2.91 3.08 0 0
1 2.57 3.91 3.25 14 NA
1 2.64 4.36 4.17 24 62
1 2.67 3.71 2.83 0 22
1 2.71 2.91 4.17 1 0
1 2.86 4.64 4.83 13 14
1 2.93 2.55 3.58 23 NA
1 2.93 3.91 3.92 NA 0
1 3.07 2.64 3.08 9 34
1 3.07 3.82 3.75 0 8
1 3.14 4.64 4.67 3 10
1 3.17 2 3 17 43
1 3.21 2.73 3.17 25 78
1 3.21 3.82 2.75 6 16
1 3.29 3.91 3.33 6 11
1 3.42 3.2 3.75 0 0
1 3.5 2.82 3.5 31 NA
1 3.5 3.73 4.25 20 25
1 3.64 2.36 4.83 32 NA
1 3.71 2.18 4.5 5 24
1 4 3 4.58 0 0
2 1 2.45 3.42 11 22
2 1 2.55 3.67 0 0
2 1 2.55 4.33 1 6
2 1 2.64 4 5 4
2 1 2.73 2.92 7 27
2 1 2.91 2.5 0 0
2 1 2.91 4.25 0 0
2 1 3.09 1.92 3 26
2 1 3.36 3.33 11 8
2 1 3.36 4.83 0 2
2 1 3.45 1.33 3 42
2 1 3.45 1.75 11 16
2 1 3.55 3.75 9 54
2 1 3.64 2.17 4 18
2 1 3.64 2.67 0 0
2 1 3.64 3.33 0 3
2 1 3.64 3.92 7 21
2 1 3.73 2.75 0 10
2 1 3.82 1.92 0 0
2 1 3.82 3 0 NA
2 1 3.82 3.08 0 0
2 1 3.82 3.08 9 35
2 1 3.82 3.17 4 10
2 1 3.82 4.3 0 18
2 1 3.91 1.83 2 10
2 1 3.91 2.42 0 0
2 1 4 1.5 0 0
2 1 4 4.17 0 0
2 1 4.09 4.25 2 7
2 1 4.27 1 0 0
2 1 4.27 3.75 4 12
2 1 4.36 3.67 8 13
2 1 4.45 2.33 0 8
2 1 4.64 1 0 1
2 1 4.64 1.33 0 0
2 1 4.64 1.58 2 22
2 1 4.91 1.92 0 0
2 1.07 2.18 4.33 12 31
2 1.07 2.36 4.92 1 23
2 1.07 2.55 3.67 0 4
2 1.07 3 3.08 6 28
2 1.07 3.09 3.17 7 26
2 1.07 3.27 3.92 0 0
2 1.07 3.45 3.25 12 43
2 1.07 3.55 3.25 4 14
2 1.07 3.64 2.08 0 0
2 1.07 3.64 3.33 0 0
2 1.07 3.73 1.42 0 0
2 1.07 3.73 2.08 0 0
2 1.07 3.73 3.58 20 86
2 1.07 3.82 3.33 4 16
2 1.07 3.82 3.5 0 5
2 1.07 3.91 3.33 0 NA
2 1.07 3.91 4.33 2 12
2 1.07 4 4.42 8 16
2 1.07 4.18 3.92 0 0
2 1.07 4.36 1.83 1 6
2 1.07 4.45 1.92 0 0
2 1.07 4.45 2.83 3 23
2 1.07 4.55 2.17 0 0
2 1.07 4.55 2.67 1 18
2 1.07 4.64 2 5 19
2 1.07 4.73 1.75 7 10
2 1.14 1.82 3.42 7 14
2 1.14 1.91 4 12 30
2 1.14 2 3.58 6 45
2 1.14 2.45 4.5 4 28
2 1.14 2.55 2.33 3 13
2 1.14 2.55 3.17 9 NA
2 1.14 2.82 2.83 0 2
2 1.14 3 2.5 9 25
2 1.14 3.09 2.92 1 2
2 1.14 3.18 4.17 0 0
2 1.14 3.27 3.42 0 0
2 1.14 3.36 2.58 11 58
2 1.14 3.36 3.25 3 16
2 1.14 3.55 2.5 9 30
2 1.14 3.55 4.08 6 16
2 1.14 3.64 2.5 8 27
2 1.14 3.64 3.83 7 28
2 1.14 3.73 2.42 12 48
2 1.14 3.82 4.17 0 2
2 1.14 3.91 3.75 3 10
2 1.14 4.09 3.67 9 22
2 1.14 4.36 1.58 5 10
2 1.14 4.36 2 0 0
2 1.14 4.64 1.42 7 14
2 1.14 4.64 2.42 0 0
2 1.14 4.64 3.5 0 0
2 1.14 5 1.92 2 8
2 1.21 2.18 3.75 7 48
2 1.21 2.36 3.67 1 13
2 1.21 2.64 4.17 9 34
2 1.21 2.64 4.25 0 1
2 1.21 2.82 3.42 0 10
2 1.21 2.82 3.67 13 30
2 1.21 3.09 3.33 3 10
2 1.21 3.18 3.75 0 0
2 1.21 3.36 4.08 7 22
2 1.21 3.55 2.25 0 0
2 1.21 3.73 3.5 7 18
2 1.21 3.82 3.42 1 1
2 1.21 3.82 4.58 1 22
2 1.21 3.91 3.25 1 4
2 1.21 4 4.75 0 NA
2 1.21 4.27 3.08 1 10
2 1.21 4.64 3 2 16
2 1.29 2 3.33 12 28
2 1.29 2.27 2.92 8 18
2 1.29 2.64 3.5 9 24
2 1.29 2.91 2.92 17 40
2 1.29 2.91 3.92 1 7
2 1.29 3 4.08 7 26
2 1.29 3.09 4.75 12 42
2 1.29 3.18 2.5 5 26
2 1.29 3.27 2.42 0 0
2 1.29 3.45 2.75 5 10
2 1.29 3.45 3.67 0 0
2 1.29 3.64 1.92 4 10
2 1.29 3.64 2 0 0
2 1.29 3.64 3.17 2 10
2 1.29 3.73 1.75 4 0
2 1.29 3.82 2.67 2 16
2 1.29 4.09 2.33 4 8
2 1.29 4.09 3.25 1 10
2 1.29 4.18 1.92 17 34
2 1.29 4.27 3.08 0 0
2 1.29 4.82 3.33 12 60
2 1.36 2.18 3.42 2 15
2 1.36 2.64 3.92 6 19
2 1.36 2.64 4.08 9 15
2 1.36 2.82 3.25 9 22
2 1.36 2.82 4.5 17 53
2 1.36 3.09 3.42 0 0
2 1.36 3.55 3 2 2
2 1.36 3.55 3.83 0 2
2 1.36 3.73 4.42 7 18
2 1.36 3.82 2.42 5 22
2 1.36 3.82 2.58 8 14
2 1.36 3.82 4 6 31
2 1.36 4 2.67 0 0
2 1.43 2.64 3.92 0 0
2 1.43 2.73 2.75 0 0
2 1.43 2.82 2.91 0 0
2 1.43 3 4.33 0 0
2 1.43 3.27 4.92 7 43
2 1.43 3.64 2.67 16 50
2 1.43 3.73 2.67 21 42
2 1.43 3.73 4.25 4 33
2 1.43 3.82 3.83 5 12
2 1.43 4.18 1.75 0 0
2 1.5 2.55 4.25 15 20
2 1.5 2.8 3.83 2 10
2 1.5 2.82 1.58 0 4
2 1.5 2.82 3.33 10 26
2 1.5 3 3.73 1 3
2 1.5 3.73 3.58 0 0
2 1.5 3.73 4.92 1 1
2 1.5 4 3.58 17 33
2 1.5 4.27 1.5 1 0
2 1.5 4.45 2.67 11 14
2 1.57 2.27 4.58 9 58
2 1.57 2.73 3.75 8 18
2 1.57 2.82 4.75 13 58
2 1.57 3 4.17 3 6
2 1.57 3.09 1.83 2 22
2 1.57 3.18 3 5 23
2 1.57 3.18 3.17 3 63
2 1.57 3.27 4.27 6 55
2 1.57 3.73 2.67 0 0
2 1.57 4 3.83 18 53
2 1.57 4.09 3.5 4 7
2 1.57 4.82 4.92 2 0
2 1.64 2 3.33 24 35
2 1.64 2.82 4.75 14 46
2 1.64 3.36 1.42 24 43
2 1.71 2.18 3.25 10 22
2 1.71 3.09 2.83 13 34
2 1.71 3.55 3.08 8 12
2 1.71 3.55 3.75 4 18
2 1.71 3.6 4.33 2 38
2 1.71 3.82 3.75 8 14
2 1.79 2.36 3.17 20 74
2 1.79 3.09 4.17 5 20
2 1.79 3.18 1.33 9 28
2 1.82 1.55 4.67 16 79
2 1.86 3.36 2 8 30
2 1.86 3.73 2.92 8 16
2 1.93 2.5 3.25 1 1
2 1.93 3.18 4 11 46
2 2 2.82 2.67 0 0
2 2 2.91 3 14 30
2 2 3.82 3 2 8
2 2.07 2.91 3.08 12 12
2 2.07 3.18 4.17 0 0
2 2.07 3.36 3.42 4 47
2 2.07 3.64 4.58 6 12
2 2.07 3.82 3.25 7 15
2 2.14 2.82 4.42 0 0
2 2.14 3.91 3.08 6 23
2 2.14 4 1.67 9 22
2 2.15 4.09 3.83 5 30
2 2.29 2.36 3 0 0
2 2.36 2.64 4.42 16 NA
2 2.43 4.64 3.5 3 9
2 2.5 3.36 2.83 1 5
2 2.57 3.27 2.58 16 62
2 2.57 4.36 4.18 1 0
2 2.64 3.36 3.08 0 25
2 2.71 1.45 4.75 9 44
2 2.71 2.55 1.42 16 28
2 2.71 2.82 4.92 17 47
2 2.79 2.64 3.58 22 36
2 2.93 3.36 3.58 10 12
2 3 2.45 4.91 14 NA
2 3.14 2.55 4.83 18 29
2 3.14 4.36 4 7 26
2 3.43 4.09 2.5 0 0
2 3.57 3.09 2.67 6 9
2 3.67 1.82 4 1 0
2 3.79 2.55 3.33 19 33
2 4.07 1.82 2.83 23 36
